"order_number","customer_name","product_name","date","amount"
3,"Medium Retailers","LCD Panel","2005-03-01","4000.00"
4,"Good Companies","Hard Disk Drive","2005-04-15","4000.00"
5,"Wonderful Shops","Floppy Drive","2005-05-20","6000.00"
6,"Loyal Clients","LCD Panel","2005-07-30","6000.00"
7,"Distinguished Partners","Hard Disk Drive","2005-09-01","8000.00"
8,"Really Large Customers","Floppy Drive","2005-11-10","8000.00"
9,"Small Stores","LCD Panel","2006-01-05","1000.00"
10,"Medium Retailers","Hard Disk Drive","2006-02-10","1000.00"
11,"Good Companies","Floppy Drive","2006-03-15","2000.00"
12,"Wonderful Shops","LCD Panel","2006-04-20","2500.00"
13,"Loyal Clients","Hard Disk Drive","2006-05-30","3000.00"
14,"Distinguished Partners","Floppy Drive","2006-06-01","3500.00"
15,"Really Large Customers","LCD Panel","2006-07-15","4000.00"
16,"Small Stores","Hard Disk Drive","2006-08-30","4500.00"
17,"Medium Retailers","Floppy Drive","2006-09-05","1000.00"
18,"Good Companies","LCD Panel","2006-10-05","1000.00"
19,"Wonderful Shops","Hard Disk Drive","2007-01-10","4000.00"
20,"Loyal Clients","Floppy Drive","2007-02-20","4000.00"
