"customer_name","customer_state","effective_date"
"ExtremeLoyal Clients                              ","PA","2005-03-01"
"Really Large Customers                            ","PA","2005-03-01"
"Small Stores                                      ","PA","2005-03-01"
"Medium Retailers                                  ","PA","2005-03-01"
"Good Companies                                    ","PA","2005-03-01"
"Wonderful Shops                                   ","PA","2005-03-01"
"ExtremeLoyal Clients                              ","PA","2024-03-05"
"Distinguished Agencies                            ","PA","2005-03-01"
"Subsidiaries                                      ","PA","2024-03-05"
"Really Large Customers                            ","PA","2007-03-02"
"Small Stores                                      ","PA","2007-03-02"
"Medium Retailers                                  ","PA","2007-03-02"
"Good Companies                                    ","PA","2007-03-02"
"Wonderful Shops                                   ","PA","2007-03-02"
"ExtremeLoyal Clients                              ","PA","2007-03-02"
"Distinguished Agencies                            ","PA","2007-03-02"
"Subsidiaries                                      ","PA","2007-03-02"
"Online Distributors                               ","PA","2007-03-02"
"PA Customer                                       ","PA","2007-03-03"
